2018-01-19 04:47:40,371 INFO     DATA FORMATTER: Retrieved the pickle file ext_rsz_training_imgarr.pickle from disk, dataX shape = (300, 96, 96, 3), dataY shape = (300, 1)
2018-01-19 04:47:40,375 INFO     Running for batch 0 
2018-01-19 04:47:40,375 INFO     Running for label 0 
2018-01-19 04:47:40,377 INFO     Running for label 1 
2018-01-19 04:47:40,379 INFO     Running for label 2 
2018-01-19 04:47:40,382 INFO     Running for batch 1 
2018-01-19 04:47:40,382 INFO     Running for label 0 
2018-01-19 04:47:40,384 INFO     Running for label 1 
2018-01-19 04:47:40,386 INFO     Running for label 2 
2018-01-19 04:47:40,388 INFO     Running for batch 2 
2018-01-19 04:47:40,389 INFO     Running for label 0 
2018-01-19 04:47:40,390 INFO     Running for label 1 
2018-01-19 04:47:40,391 INFO     Running for label 2 
2018-01-19 04:47:40,392 INFO     Running for batch 3 
2018-01-19 04:47:40,393 INFO     Running for label 0 
2018-01-19 04:47:40,394 INFO     Running for label 1 
2018-01-19 04:47:40,394 INFO     Running for label 2 
2018-01-19 04:47:40,396 INFO     Running for batch 4 
2018-01-19 04:47:40,397 INFO     Running for label 0 
2018-01-19 04:47:40,397 INFO     Running for label 1 
2018-01-19 04:47:40,398 INFO     Running for label 2 
2018-01-19 04:47:40,400 INFO     Running for batch 5 
2018-01-19 04:47:40,400 INFO     Running for label 0 
2018-01-19 04:47:40,401 INFO     Running for label 1 
2018-01-19 04:47:40,402 INFO     Running for label 2 
2018-01-19 04:47:40,403 INFO     Running for batch 6 
2018-01-19 04:47:40,404 INFO     Running for label 0 
2018-01-19 04:47:40,405 INFO     Running for label 1 
2018-01-19 04:47:40,405 INFO     Running for label 2 
2018-01-19 04:47:40,407 INFO     Running for batch 7 
2018-01-19 04:47:40,408 INFO     Running for label 0 
2018-01-19 04:47:40,408 INFO     Running for label 1 
2018-01-19 04:47:40,409 INFO     Running for label 2 
2018-01-19 04:47:40,410 INFO     Running for batch 8 
2018-01-19 04:47:40,411 INFO     Running for label 0 
2018-01-19 04:47:40,412 INFO     Running for label 1 
2018-01-19 04:47:40,412 INFO     Running for label 2 
2018-01-19 04:47:40,414 INFO     Running for batch 9 
2018-01-19 04:47:40,415 INFO     Running for label 0 
2018-01-19 04:47:40,415 INFO     Running for label 1 
2018-01-19 04:47:40,416 INFO     Running for label 2 
2018-01-19 04:47:40,419 INFO     The Data batches dumped has shape: (10, 30, 96, 96, 3)
2018-01-19 04:47:40,419 INFO     The Label batch dumped has shape: (10, 30)
2018-01-19 04:47:40,419 INFO     DATA FORMATTER: Dumping the pickle file ext_rsz_distinct_stratified_batches.pickle to disk, dataX shape = (10, 30, 96, 96, 3), dataY shape = (10, 30)
